rank,name,rule_type,expression,matched,profit_count,loss_count,win_rate,lift_vs_baseline,avg_roi,avg_pnl_sol,median_holding_seconds,avg_max_runup,avg_max_drawdown,avg_exit_efficiency
23,pre_5m_return >= 0.50 AND volume >= 1.50x AND range >= 0.50,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.5000,10,8,2,0.800000000,0.300000000,0.325032700,0.177686409,89,0.467211056,-0.539756410,0.905417398
24,pre_5m_return >= 0.25 AND range >= 0.40,entry_filter_combo,pre_5m_return >= 0.2500 AND entry_range_position >= 0.4000,24,19,5,0.791666667,0.291666667,0.258761917,0.149093694,76,0.414991742,-0.393505866,0.902542401
25,pre_5m_return >= 0.50,entry_filter,pre_5m_return >= 0.5000,14,11,3,0.785714286,0.285714286,0.260301071,0.150535263,89,0.476121730,-0.474376618,0.892883584
26,pre_20m_return >= 0.25,entry_filter,pre_20m_return >= 0.2500,27,21,6,0.777777778,0.277777778,0.212557963,0.124873378,74,0.450176093,-0.385040341,0.884590643
27,pre_5m_return >= -0.50 AND range >= 0.85,entry_filter_combo,pre_5m_return >= -0.5000 AND entry_range_position >= 0.8500,18,14,4,0.777777778,0.277777778,0.241281944,0.143251379,76,0.325813173,-0.346260781,0.927976219
28,pre_5m_return >= -0.25 AND range >= 0.85,entry_filter_combo,pre_5m_return >= -0.2500 AND entry_range_position >= 0.8500,18,14,4,0.777777778,0.277777778,0.241281944,0.143251379,76,0.325813173,-0.346260781,0.927976219
29,pre_5m_return >= 0.00 AND range >= 0.85,entry_filter_combo,pre_5m_return >= 0.0000 AND entry_range_position >= 0.8500,18,14,4,0.777777778,0.277777778,0.241281944,0.143251379,76,0.325813173,-0.346260781,0.927976219
30,pre_20m_return >= 0.50,entry_filter,pre_20m_return >= 0.5000,18,14,4,0.777777778,0.277777778,0.202449556,0.117172260,76,0.377017067,-0.413072846,0.895435759
31,pre_5m_return >= 0.50 AND volume >= 1.50x AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.6500,9,7,2,0.777777778,0.277777778,0.358435444,0.196073679,89,0.466240003,-0.545601293,0.910670191
32,pre_5m_return >= 1.00 AND range >= 0.40,entry_filter_combo,pre_5m_return >= 1.0000 AND entry_range_position >= 0.4000,9,7,2,0.777777778,0.277777778,0.356710556,0.195166051,84,0.490208134,-0.541544347,0.913081833
33,pre_5m_return >= 1.00 AND range >= 0.50,entry_filter_combo,pre_5m_return >= 1.0000 AND entry_range_position >= 0.5000,9,7,2,0.777777778,0.277777778,0.356710556,0.195166051,84,0.490208134,-0.541544347,0.913081833
34,pre_5m_return >= 1.00 AND range >= 0.65,entry_filter_combo,pre_5m_return >= 1.0000 AND entry_range_position >= 0.6500,9,7,2,0.777777778,0.277777778,0.356710556,0.195166051,84,0.490208134,-0.541544347,0.913081833
35,pre_5m_return >= 1.00 AND volume >= 1.50x,entry_filter_combo,pre_5m_return >= 1.0000 AND pre_5m_volume_spike >= 1.5000,9,7,2,0.777777778,0.277777778,0.342781222,0.191417238,89,0.572416666,-0.572692756,0.882410644
36,volume >= 2.00x AND range >= 0.75,entry_filter_combo,pre_5m_volume_spike >= 2.0000 AND entry_range_position >= 0.7500,9,7,2,0.777777778,0.277777778,0.297191222,0.155881264,76,0.420838169,-0.454202324,0.942495174
37,pre_5m_return >= 0.00 AND volume >= 2.00x AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 2.0000 AND entry_range_position >= 0.7500,9,7,2,0.777777778,0.277777778,0.297191222,0.155881264,76,0.420838169,-0.454202324,0.942495174
38,pre_5m_return >= 0.50 AND volume >= 2.00x,entry_filter_combo,pre_5m_return >= 0.5000 AND pre_5m_volume_spike >= 2.0000,9,7,2,0.777777778,0.277777778,0.297077444,0.158064783,89,0.605430056,-0.571556319,0.872241597
39,volume >= 1.50x AND range >= 0.85,entry_filter_combo,pre_5m_volume_spike >= 1.5000 AND entry_range_position >= 0.8500,9,7,2,0.777777778,0.277777778,0.165309000,0.093551421,76,0.271585943,-0.436226495,0.948708348
40,pre_5m_return >= 0.00 AND range >= 0.75,entry_filter_combo,pre_5m_return >= 0.0000 AND entry_range_position >= 0.7500,22,17,5,0.772727273,0.272727273,0.275434955,0.159075032,74,0.349867318,-0.352707340,0.905576686
41,pre_5m_return >= 0.25 AND range >= 0.50,entry_filter_combo,pre_5m_return >= 0.2500 AND entry_range_position >= 0.5000,22,17,5,0.772727273,0.272727273,0.271489045,0.149833921,76,0.412896046,-0.400299208,0.908311270
